eventID,parentEventID,eventDate,country,locality,site,reef,Quadrat,decimalLongitude,decimalLatitude,minimumDepthInMeters,maximumDepthInMeters,coordinateUncertaintyInMeters,geodeticDatum,photo
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q011,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q011,-64.274401,-42.632535,,,,WGS84,IMG_5376 00200.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q012,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q012,-64.274401,-42.632535,,,,WGS84,IMG_5379 00203.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q013,-64.274401,-42.632535,,,,WGS84,IMG_5384 00207.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q014,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q014,-64.274401,-42.632535,,,,WGS84,IMG_5387 00210.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q015,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q015,-64.274401,-42.632535,,,,WGS84,IMG_5392 00215.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q016,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-11,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q016,-64.274401,-42.632535,,,,WGS84,IMG_5395 00218.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q017,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q017,-64.274401,-42.632535,,,,WGS84,IMG_5753 00385.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q018,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q018,-64.274401,-42.632535,,,,WGS84,IMG_5756 00386.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q019,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q019,-64.274401,-42.632535,,,,WGS84,IMG_5777 00393.JPG
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG_Q020,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_OVERHANG,2019-03-26,ARGENTINA,PTOPIRAMIDES,PARDELAS,DEEP1,Q020,-64.274401,-42.632535,,,,WGS84,IMG_5786 00398.JPG
