occurrenceID,eventID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_HORIZONTAL_Q003_007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_HORIZONTAL_Q003,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_VERTICAL_Q001_008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_VERTICAL_Q001,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q001_009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q001,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q005_006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q005,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_VERTICAL_Q006_009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_VERTICAL_Q006,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q007_007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q007,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,32,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_HORIZONTAL_Q011_008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_HORIZONTAL_Q011,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q013_005,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q013,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q015_007,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q015,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,32,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q018_008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q018,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q019_010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_SHALLOW1_CAVEFLOOR_Q019,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,32,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q001_010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q001,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q003_008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q003,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q005_010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q005,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q007_010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q007,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,48,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q004_006,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q004,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,64,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q005_014,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q005,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q009_013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q009,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,48,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q012_008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q012,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q013_013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q013,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,32,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q010_010,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q010,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q011_013,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q011,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,64,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q013_009,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_CAVEFLOOR_Q013,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q016_008,ARGENTINA_PTOPIRAMIDES_2019_PARDELAS_DEEP1_HORIZONTAL_Q016,surface area,http://vocab.nerc.ac.uk/collection/P01/current/AREABEDS/,16,m2,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/
