"","Name","Date","region","site","reef.name","reef.area","understory","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Annotation.status","Annotation.area","CD","Taxa","value","abundance"
"54","IMG_5228 00084.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"55","IMG_5229 00085.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","vertical","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"56","IMG_5229 00085.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","vertical","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"57","IMG_5230 00086.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","overhang","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"58","IMG_5230 00086.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","overhang","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"59","IMG_5232 00088.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","cavefloor","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",1,NA
"60","IMG_5232 00088.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","cavefloor","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",1,1
"61","IMG_5233 00089.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","overhang","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",3,NA
"62","IMG_5233 00089.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","overhang","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","D","Arbacia.dufresnii",3,3
"63","IMG_5235 00091.jpg","11/03/2019","GolfoNuevo","Pardelas","Shallow_West","horizontal","no",45,-42.620258,-64.256885,"shallow","canon100d","Gonzalo","good","two","25x25cm","yes","First samples","Confirmed","X: 0 - 100% / Y: 0 - 100%","C","Arbacia.dufresnii",2,NA
